State Abbreviation,Name,Release Year,High school graduation raw value,Unemployment raw value,Some college raw value,Ratio of population to mental health providers,Median household income raw value,Average Temperature,Average Precipitation,RUCC,Poor mental health days raw value,Crude Rate,high_school_treated,unemployment_treated,college_treated,mental_health_provider_treated,household_income_treated,temperature_treated,precipitation_treated
FL,Okeechobee County,2011,0.551,0.12,0.3329999999999999,40222.0,35724.0,73.75,3.8508333333333327,4.0,3.6,25.3,0,0,0,0,0,0,0
FL,Orange County,2011,0.64,0.105,0.632,4912.0,50674.0,73.10833333333333,4.364999999999998,1.0,3.1,9.9,0,0,1,0,1,0,0
FL,Osceola County,2011,0.726,0.113,0.54,22217.0,45766.0,73.43333333333334,4.29,1.0,4.0,14.3,0,0,0,0,0,0,0
FL,Palm Beach County,2011,0.6709999999999999,0.108,0.6,2475.0,52807.0,75.55833333333331,3.8991666666666656,1.0,3.1,15.3,0,0,0,0,1,0,0
FL,Pasco County,2011,0.642,0.119,0.575,9368.0,42407.0,72.18333333333334,4.510833333333333,1.0,4.2,23.6,0,0,0,0,0,0,0
FL,Pinellas County,2011,0.561,0.108,0.611,3974.0,45899.0,73.64999999999998,5.035833333333334,1.0,3.8,19.6,0,0,1,0,0,0,0
FL,Polk County,2011,0.643,0.114,0.474,9671.0,44350.0,73.31666666666666,4.323333333333333,2.0,3.7,15.3,0,0,0,0,0,0,0
FL,Putnam County,2011,0.616,0.12,0.311,18364.0,35168.0,71.07499999999997,3.9475,4.0,4.1,14.9,0,0,0,0,0,0,0
FL,St. Johns County,2011,0.772,0.085,0.693,3577.0,67238.0,70.43333333333334,3.8075,1.0,3.6,13.8,0,0,1,0,1,0,0
FL,St. Lucie County,2011,0.62,0.135,0.481,7813.0,44788.0,74.25833333333334,4.099166666666666,2.0,4.1,19.6,0,0,0,0,0,0,0
FL,Santa Rosa County,2011,0.812,0.091,0.595,10024.0,54174.0,67.70833333333333,3.500833333333334,2.0,3.5,21.8,0,0,0,0,1,0,1
